Nom.Kods,Nom.Nosaukums,Beigu daudzums,"Beigu vid. cena, EUR",Nom.PCAPVNE.Cena
0000221,"Uzlika, cilindra, hromēta","14,000","0,7829","1,24"
0000224,"Kamera ritenim 3,50-8' 1022","218,000","1,0746","1,21"
0000226,Smilšpap. ūd. NWA AQUA 230*280mm No240,"239,000","0,145","0,26"
0000231,"Kamera ritenim 3,50-6' 1021","122,000","1,0485","1,14"
0000233,Mikseris 10 cm plats CO554,"1040,000","0,1168","2,85"
0000238,Uzlika cilindra balta,"14,000","0,7829","1,24"
0000240,Smilšpap. ūd. NWA224 AQUA 230*280mm No320,"170,000","0,1661","0,30"
0000245,Uzlika cilindra pulēts misiņš,"18,000","0,7817","1,24"
0000254,Neilona savilces 2.5*150mm,"17,000","0,5018","0,78"
0000255,"Kamera ritenim 4,00-4' 1023","121,000","1,1107","1,14"
0000258,Neilona savilces 2.5*200mm,"12,000","0,7617","1,20"
0000262,Plastm.klipši stabiem 50G+skrūv.,"13,000","5,4223","8,52"
0000264,Smilšpap. ūd. NWA AQUA 230*280mm No400,"242,000","0,1563","0,30"
0000269,WC aizgrieznis matēts misiņš,"22,000","2,1332","3,36"
0000270,Līme apavu Obu 15 ml,"11,000","0,4718","0,73"
0000271,Mikseris 6cm plats 552,"80,000","1,1273","1,52"
0000279,Perimetra līste 3000 T24,"1232,000","0,4146","2,60"
0000283,WC aizgrieznis balts,"19,000","2,0616","3,24"
0000286,"Riepa 3,50-8` 1016","35,000","2,1111","2,43"
0000288,Mikseris 12 cm plats 555,"6,000","2,22","3,54"
0000293,"Riepa 4,00-8` 1017","35,000","2,1723","2,92"
0000295,Smilšpap. ūd. NWA AQUA 230*280mm No800,"260,000","0,1622","0,30"
0000296,Onduline loksne sarkana,"4,000","6,345","9,99"
0000299,Griezulis niķelēts,"138,000","1,2858","1,25"
0000301,Smilšpap. ūd. NWA AQUA 230*280mm No1000,"245,000","0,1505","0,30"
0000303,Pirts lāvu eļļa 1 L,"10,000","8,495","13,13"
0000309,"Kamera ritenim 4,00-8' 1024","228,000","1,1551","1,39"
00003108,Tortes spices 36 cm papīra,"0,000","0,00","0,06"
0000314,Atkritumu maisi P 150,"8,000","1,2938","1,98"
0000316,Pārklājs 1.7*2m 000316,"76,000","0,7499","1,24"
0000318,Smilšpap. ūd. NWA224 AQUA 230*280mm No1200,"184,000","0,1383","0,21"
0000323,Pārklājs 2*3m,"118,000","1,3423","2,19"
0000325,Smilšpap. ūd. NWA224 AQUA 230*280mm No1500,"55,000","0,1375","0,21"
0000330,Pārklājs 3*5m 000330,"100,000","3,2717","5,46"
0000331,Tento De Luxe aromat 4r.t.pap. 7137 151862,"54,000","0,8281","1,29"
0000332,Misiņa eņģe 75*45*1.4mm HD1003B6,"272,000","0,7724","1,49"
0000347,Pārklājs 4*6 m 000347,"120,000","5,2252","8,75"
0000348,"Caurule Wavin @50-1,0 m balta","3,000","2,1567","3,19"
0000349,Smilšpap. ūd. NWA224 AQUA PS 8 A 230*280mm No2500,"130,500","0,1698","0,30"
0000350,Pasta Unipak 65 gr,"35,000","1,2934","2,11"
0000354,Pārklājs 6*8m,"70,000","10,6364","17,50"
0000355,"Rozete ar sazem.2-viet., virs apmet. PA10-826","185,000","1,4615","2,75"
0000364,"ONDULINE loksne, brūna","46,000","6,3461","9,99"
0000370,Pasta Unipak 250 gr,"7,000","2,2986","3,51"
0000379,"Rozete 2-viet., zem apmet., PC10-393","99,000","1,1435","2,01"
0000384,Veltnītis  Hardy Moltopren 10 cm d35 mm,"13,000","0,1838","0,28"
0000400,Kabelis UTP 4X2X24 Cat-5E 305m,"195,000","0,2121","0,33"
0000431,Ped.mēbeļ. filc. D35,"33,000","0,20","0,31"
0000433,Smilšaudums Globus 880mm,"5,200","4,7846","7,24"
0000440,Karabīne ar griezuli niķelēta HE51,"66,000","1,0939","1,45"
0000448,Misiņa eņģe (niķelēta) 75*45*1.4mm HD1003C6,"401,000","0,9779","1,91"
0000454,Elektrobloks ar sazem. 1 taust.+roz. Krievija 41811,"24,000","2,6938","4,45"
0000461,Elektrobloks ar sazem. 2 taust.+roz. Krievija,"38,000","3,1626","5,12"
0000467,Špakteļlāpsta  nerūs. plastm. rokt. 60 mm,"16,000","0,2875","0,44"
0000468,Atkritumu m. 15L 42*50,"16,000","0,3581","0,53"
0000474,Špakteļlāpsta  nerūs. plastm. rokt. 80 mm,"34,000","0,3509","0,53"
0000482,Atkritumu maisi 35 L 54*70,"44,000","0,717","1,10"
0000483,Akust. kabelis 2*1 mm2,"195,000","0,2789","0,44"
0000493,Erlits antis. 1 L zaļš,"22,000","0,9405","1,45"
0000511,Paklājs BCF 1.2*1.7 m,"0,000","0,00","19,75"
0000512,Atkr. maisi 35 L 55*72 35 mikr.,"18,000","0,4817","1,08"
0000522,Elektrobloks 2 taust.+roz. Krievija,"33,000","2,9367","5,19"
0000539,Balinātājs Lilija 200 gr,"349,000","0,5524","0,90"
0000546,Fermenta 200 gr,"81,000","0,5252","0,71"
00005522,Aut.drošinātājs PAR-16A,"0,000","0,00","2,76"
0000554,"Švamme mīksta, poraina 232","28,000","0,5493","0,81"
0000558,Pagarinātājs a/z 5-viet. 5m,"2,000","3,145","4,64"
0000561,Paliktnis-sūklis,"3,000","0,85","1,41"
0000577,Frieb koka slotas kāts S 120 cm lakots ar vītni,"197,000","0,8692","1,34"
0000604,"Trosītes kniede 1,5 mm SL02","254,000","0,065","0,11"
0000634,Karabīne cinkota  2500kg HE2311,"31,000","1,7523","3,20"
0000640,Stiklšķiedras siets Ejot 16 g/m2,"8671,860","0,512","0,81"
0000653,Plastmasas rīvdēlis 15*35 cm 415,"6,000","1,1917","2,16"
0000696,Uzlīme ar apdruku specp.uzl. ķieģelis d15cm stop 10*20cm aizv.durvis 10*20 cm,"0,530","14,0943","22,18"
0000701,Disks slīpēšanai 125*22 F36Cyrkon TRLD125F36C,"9,000","1,3678","2,32"
0000718,Disks slīpēšanai 125*22 F40,"68,000","1,3663","2,32"
0000725,Disks slīpēšanai 125*22 F60,"83,000","0,7241","2,32"
0000732,Disks slīpēšanai 125*22 F80,"42,000","1,366","2,32"
0000749,Diski slīpēšanai 125*22 F120,"33,000","1,3661","2,32"
0000756,Disks slīpēšanai 1252,"235,000","0,5805","1,32"
0000763,Disks slīpēšanai 125*2,"92,000","0,7257","1,22"
0000770,Norma pods ar vāku 90 gr izvads balts,"0,000","0,00","60,33"
0000782,Butterfly balts 4ruļ.tual.pap. kk 007494,"81,000","0,5691","0,85"
0000787,Disks slīpēšanai 125*22 .Nr.100,"68,000","0,7253","1,22"
0000788,Caurule TN GMVA 12/4 mm 1 m ar līmi,"7,000","2,2914","3,60"
