Nom.Kods,Nom.Nosaukums,Beigu daudzums,"Beigu vid. cena, EUR",Nom.PCAPVNE.Cena
017840,"Leņķis plakans 2,50*50*11mm bihromēts 50-097","453,000","0,0587","0,09"
017840,"Leņķis plakans731,50*50*14mm bihromēts 50-097","80,000","0,0614","0,10"
0178443,"Groziņš 31*23,5","9,000","1,9578","2,70"
0178672,Grozs ar vāku,"1,000","0,00","43,77"
017958,Lietus ūdens uztvērējs 240*128 mm RPCRTVH,"10,000","7,88","12,07"
0179584,"Grīdas segums Bary 822 3,0 N","11,600","3,5759","5,49"
0179588,Grīdas segums  Playground 965 4,"50,600","3,085","4,84"
0179881,Bref WC želeja-atsv. tual. Apple rez. 400 ml,"10,000","2,626","4,00"
0179906,Grīdas segums  Block 330 4.0 N,"21,650","3,2919","5,05"
0179911,Bref WC želeja-atsv. tual. Aqua rez. 400 ml,"1040,000","0,1912","4,00"
017992,Lineāls 150*5 cm,"1,000","11,34","16,73"
0179958,Līkums caurule 20 mm SBSKu-EM,"2,000","0,385","0,57"
0180003,Tosols A40-SI 3L p/e kanna,"24,000","2,4267","3,57"
0180005,Tosols A40-SI 5L p/e kanna,"5,000","3,966","5,85"
0180236,CR2032 baterija Litija 3V NOVACELL BL5,"12,000","0,4408","0,70"
018047,Linolejs 3.5m 3mm,"70,080","3,8105","5,85"
0181203,Sviestmaižu tosteris MPM S-629,"1,000","7,99","12,56"
0181716,"Griešanas ripa, metālam 150*22*2.5mm","96,000","0,9003","1,45"
0181723,Griešanas ripa 150*22.2*2.5mm akmenim,"74,000","0,9347","1,57"
0181747,Griešanas ripa 125*22.2*2.5mm akmenim,"200,000","0,7319","1,24"
0181785,"Slīpēšanas ripa, izliekta 150*22*6mm, metālam","16,000","1,6313","2,60"
0181846,"Griešanas ripa, metālam 125*22*2.5mm","122,000","0,6848","1,07"
018197,Lodv.ventilis Arco Sena 1/2 MF īsasi rokturis,"4,000","1,4725","2,18"
0182207,Solo glāzes turētājs ar 1 gl.,"10,000","4,586","7,16"
018222,Lodveida ventilis Arco Sena 1/2 FF īsais rokturis ARRHM03,"11,000","1,4855","2,19"
0182221,Dekor-Rafia,"18,000","1,1394","1,72"
018233,Lodveida ventilis Arco Sena 1/2 MF īsais rokturis,"11,000","1,6009","2,36"
018267,Lodāmurs 60W V3-VA40001.1,"1,000","3,04","4,50"
0183016,Elektriskā tējkanna Smile SLT-506,"9,000","7,6511","11,67"
0183023,Elektriskā tējkanna Smile SLT-513,"7,000","7,6514","11,67"
0183204,Solo ziepju trauks stikla,"3,000","4,36","6,79"
018358,Logu ķite 650 gr 11-004,"7,000","1,46","2,15"
0184025,Karūna Asorti konfekšu kārba 203 g,"1,000","1,52","2,22"
018424,Lok.stūrlīste  2.6m,"79,000","2,1275","3,16"
0184427,Ārējais stūris 18*44*2700,"106,000","1,5401","2,39"
018487,Loksne a/v 0.5*1250*2500 08PS 4929,"28,000","9,2486","13,65"
0185208,Solo divzaru dvieļa turētājs,"8,000","9,9188","15,55"
0185219,Slīppap.slīpšķ. metal top D 125 mm K 40,"46,000","2,7539","4,34"
0185226,Slīppap.slīpšķ. metal top D 125 mm K 60,"52,000","2,7354","4,34"
0185233,Slīppap.slīpšķ. metal top D 125 mm K 80,"46,000","2,9398","4,60"
018547,Tīrāmas lūciņas 120*120,"54,000","4,4161","7,85"
018558,Lukturis Xtreme-373 8+1+2 uz galvas L&S.71-373,"23,000","3,1365","5,07"
018559,Lukturis Xtreme-383 32L L&S.71-383,"118,000","5,2021","7,91"
0186674,Urbis betonam 3*70 mm Silver Percussion,"55,000","1,3215","2,26"
0186681,Urbis betonam 4*75 mm Silver Percussion,"57,000","1,2114","2,11"
0186704,Urbis betonam 5*85 mm Silver Percussion,"254,000","1,1284","1,96"
0186728,Urbis betonam 6*100 mm Silver Percussion,"587,000","1,2221","2,11"
0186759,Urbis betonam 8*120 mm Silver Percussion,"297,000","1,5158","2,66"
0186773,Urbis betonam 10*120 mm Silver Percussion,"159,000","1,9311","3,33"
0186797,Urbis betonam 12*150 mm Silver Percussion,"64,000","3,1919","5,69"
0186810,Urbis betonam 14*150mm Silver Percussion,"61,000","4,6484","8,44"
0186827,Urbis betonam 15*160 mm Silver Percussion,"3,000","6,0533","9,29"
0186841,Urbis betonam 18*160 mm Silver Percussion,"5,000","10,914","17,06"
0186858,Urbis betonam 20*160 mm Silver Percussion,"13,000","12,0792","19,62"
0186896,Urbis betonam 5*150 mm Silver Percussion,"24,000","2,0479","3,40"
0186919,Urbis betonam 6*150 mm Silver Percussion,"127,000","2,1802","3,71"
0186940,Urbis betonam 8*200 mm Silver Percussion,"139,000","2,8344","4,84"
0186957,Urbis betonam 10*200 mm Silver Percussion,"136,000","3,5187","6,05"
0186964,Urbis betonam 12*200 mm Silver Percussion,"10,000","4,472","7,66"
0186971,Urbis betonam 10*300 mm Silver Percussion,"30,000","5,135","8,95"
0186988,Urbis betonam 12*300 mm Silver Percussion,"14,000","5,6307","9,12"
0186995,Urbis betonam 13*300 mm Silver Percussion,"1,000","6,93","10,22"
0187015,"Urbis betonam 6,4*400 mm Silver Percussion","2,000","6,60","10,07"
0187022,Urbis betonam 8*400 mm Silver Percussion,"12,000","6,6933","10,33"
0187060,Urbis betonam 16*400 mm Silver Percussion,"4,000","14,4625","23,82"
0187077,Urbis betonam 18*400 mm Silver Percussion,"1,000","19,46","30,62"
0187091,Urbis betonam 22*400 mm Silver Percussion,"2,000","25,955","48,45"
0187107,Urbis betonam 10*600mm Silver Percussion,"20,000","9,146","16,69"
0187114,Urbis betonam 12*600mm Silver Percussion,"15,000","10,0993","18,00"
0187121,Urbis betonam 14*600mm Silver Percussion,"5,000","13,888","23,46"
0187152,Urbis betonam 20*600 mm Silver Percussion,"3,000","25,2267","41,36"
0187202,Solo āķis E187.20,"22,000","2,7464","4,30"
0187213,"Urbis betonam kompl. 5,6,8 Silver Percussion","8,000","3,68","5,83"
0187336,Urbis betonam 12*150 mm Silver Percussion,"7,000","2,9329",
0187343,Cietmet.urbis betonam 3*70mm  BLUE.GR,"40,000","1,6258","2,58"
0187350,Cietmet.urbis betonam 4*75mm 1 gab Blue Gr,"91,000","1,4615","2,49"
0187367,"Cietmet.urbis betonam 4,5*75mm 1 gab Blue Gr","12,000","1,6217","2,60"
0187374,Cietmet. urbis betonam 5*85mm Blue gr 2608597725,"406,000","1,4521","2,59"
0187381,"Cietmet.urbis betonam 5,5*85mm  BLUE.GR","23,000","1,7174","2,76"
0187398,Cietmet.urbis betonam 6*100mm 1 gab  Blue Gr,"1275,000","1,6748","2,93"
0187404,Cietmet.urbis betonam 6.5*100mm 1gab  Blue Gr,"9,000","1,9267","3,14"
0187411,Cietmet.urbis betonam 7*100mm 1 gab Blue Gr,"55,000","2,0178","3,47"
0187428,Cietmet.urbis betonam 8*120mm  BLUE.GR,"319,000","1,963","3,51"
0187442,Cietmet.urbis betonam 9*120 Blue gr.,"7,000","2,7414","4,31"
0187459,Cietmet. urbis betonam 10*120mm Blue gr 2608597733,"187,000","2,3934","4,23"
0187466,Cietmet.urbis betonam 5*150mm 1 gab  Blue Gr,"19,000","1,9832","3,26"
0187473,Cietmet. urbis betonam 6*150 Blue gr.,"138,000","1,9578","3,47"
0187480,Cietmet.urbis betonam 12*150mm  BLUE.GR,"51,000","4,1261","6,83"
0187503,Cietm. urbis betonam 14*150mm Blue gr,"36,000","6,0008","10,24"
0187527,Cietmet.urbis betonam 16*160mm 1 gab  Blue Gr,"2,000","10,435","16,75"
0187541,Cietmet.urbis betonam  20*160mm 1 gab Blue Gr,"1,000","15,67","23,69"
0187558,Cietmet. urbis betonam 8.0*250mm Blue gr 1618596167,"59,000","3,4669","5,59"
0187565,Cietmet.urbis betonam 10*250mm 1 gab Blue Gr,"80,000","4,3659","7,07"
0187572,Cietmet. urbis betonam 12*250mm Blue gr,"18,000","5,5739","8,94"
0187596,Cietmet.urbis betonam kompl. 5/6/8 mm,"2,000","4,765","7,27"
0188209,Solo dvieļu turētājs 600 mm,"6,000","8,8617","13,84"
0188384,Līkums 15*15 45 FF lod. 18838,"10,000","0,184","0,27"
018851,Lāpsta Practica 103 cm taisna VC-SHGS2D,"2,000","6,245","9,22"
018859,Lāpsta Practica 154 cm taisna VC-SHGS2L,"8,000","7,2713","10,73"
0188643,Līkums 15*15 90 MF lod.,"18,000","0,1644","0,24"
0188659,Grīgas segums Superstar 836,"85,500","4,1041","6,46"
018868,Lāpsta Ultra Grip 107cm spica VC-UFH2FD,"1,000","15,62","23,05"
0188791,Grīdas segums Zobra 014B 4.0,"56,400","2,6532","4,20"
0189025,Špaktele gatavā 20 kg spainī DO-0662,"96,000","10,74","14,44"
0189032,Špaktele gatavā 7 kg spainī DO-0663,"164,000","5,6915","8,61"
0189095,SDS Plus urbis S4 6*260 mm,"14,000","4,0793","6,49"
0189149,SDS Plus urbis S4 12*310 mm,"12,000","6,1358","9,55"
018918,Līdzeklis dzinēja tīrīšanai 550 ml,"3,000","1,5933","2,35"
0189206,Solo tualetes papīra turētājs,"1029,000","0,2017","9,78"
0189336,Mufta 22-15 LOD. 240 R 002215,"9,000","0,7144","1,05"
0189430,Grīdas segums  Honduras 391 4,"40,000","3,9075","6,19"
0189436,Grīdas segums fjord 70 4.0,"113,600","2,9278","4,62"
0189542,"Grīdas segums  Bermuda 213 3,0 N","4,200","5,969","9,15"
0189718,"Grīdas segums Marbella 15 4,0 N","138,000","4,9378","7,54"
0190204,Grīdas degums Bravissimo 881 3.0,"44,190","3,4865","5,55"
0190205,Grīdas segums Bravisimo 609 3.0,"73,350","3,4873","5,55"
0190234,Grīdas segums  Liberty 283,"130,800","3,6038","5,69"
019081,Līkums HTB 50/45 OS11120,"52,000","0,2319","0,34"
019132,"Līme 88 0,8 L 974","33,000","6,267","9,89"
019133,Universālā līme 88 0.040 kg,"156,000","0,553","0,84"
0191506,"Vārsts Light 1/2"" 08030012 19150","33,000","1,2103","1,89"
0191520,"Vārsts Light 1""","11,000","2,7355","4,20"
019199,Linoleja līme 600 gr 10-078,"18,000","1,46","2,15"
0192022,"Vārsts ar siet. 1""","13,000","1,9054","2,87"
019214,"Līme Moment Power-Fix, smagiem materiāliem 400 g","10,000","3,183","4,70"
019239,"Līme PVA 0,33kg 20033","171,000","1,0941","1,74"
019247,Līme PVA D3 ūdensizturīgs H474N 3 kg,"5,000","5,678","8,38"
0192527,"Sietv.filtrs 1""","1,000","3,12","4,60"
019254,Līme Stiropors 1 kg,"121,000","1,0008","1,55"
019267,Līme Super Moment 3 g,"1178,000","0,1062","0,98"
019285,Tapešu līme Super Express B. 250 g,"2074,000","1,3722","1,99"
0193016,Ripzāģa disks 210-30mm,"0,000","0,00","30,44"
0194075,Ripzāģa disks 190*20mm Optiline Wood,"1,000","14,64","22,32"
0194112,Ripzāģa disks 190*30mm Optiline Wood,"3,000","15,40","25,10"
0194200,Solo šķidro ziepju sadalītājs,"7,000","6,1629","9,66"
0194235,Ripzāģa disks 160*16mm Construct Wood,"6,000","7,9467","12,76"
0194655,Ripzāģa disks 250*30mm zāģa galdiem,"0,000","0,00","27,39"
0194929,Spuldze Haloline 3000W 230V R,"13,000","3,6992","5,46"
0195006,Groziņš 38*33 cm h-13cm pīts,"11,000","4,1273","6,73"
0195111,Kaste Unibox 30 L sarkana,"6,000","2,8167","4,30"
0195157,Ripzāģa disks 230*30mm Optiline Wood,"3,000","14,2567","23,55"
0195229,Rullis Lmlon 250*38*20 mm,"2,000","2,095","3,17"
019532,Līmpistole 65W V3-PO720,"2,000","3,445","5,08"
019536,"Līmplēve 0,45 Nr. 217 20010","747,820","0,2182","4,04"
019542,"Līmplēve 0,67 20003","2065,170","0,6928","2,06"
019547,Līmplēve 90 cm Romika S,"265,000","1,4513","2,13"
019548,"Līmplēve 0,90 cm 20001","7190,840","1,6432","2,77"
019549,Līmplēve 15m 90cm,"187,000","1,4287","2,13"
019550,"Līmplēve 0,67 20003","1840,100","1,2346","2,06"
019553,"Līmplēve 0,45 20002","1580,280","0,8374","1,41"
019594,Līmšpaktele trapecveida vidējā 18 cm W940201,"7,000","0,6386","0,94"
019619,Līste L4 1.šķ.,"212,000","2,5652","4,85"
019620,Līste L4 2.šķ.,"236,000","0,9818","1,64"
019624,Līste L5 2.šķ.,"484,000","1,0245","1,85"
01965,Lietuvas karogs,"0,000","0,00","50,78"
019670,Līstes Nr. 5,"653,500","0,8879","1,42"
019673,Līstes Nr.27,"720,000","2,0489","3,13"
019683,Līste L5 1.šķ.,"169,000","2,0063","3,06"
019684,"Līste L1 1.šķ,","52,000","1,1098","1,71"
019687,Līste L13 1.šķ.,"103,000","3,6283","5,55"
0197014,"Dimanta griešanas ripa FPE 115*22,2*1,6 mm","1,000","10,98","16,21"
019718,Anods mazs uz kāta 180*120 10045,"4,000","3,0175","4,45"
019780,Maisi 10 kg 42*60 cm dzeltena,"2468,000","0,0591","0,14"
019783,Maisi 240+2*60 *450*0.008 mm |H|D balti 10152,"37447,000","0,0061","0,01"
019784,Maisi 240+2*60balti ar flekso R&C 12829,"58301,000","0,0103","0,01"
019787,Maisi 350+2*100 balti ar flekso R&C 12830,"89831,000","0,0413","0,07"
019788,Maisi 40*50 cm HD 15L/20 gab 7820,"443,000","0,1759","0,30"
019791,Maisi 45*60cm HD melni 25l/20gab 9143,"1447,000","0,2339","0,43"
019793,Maisi 47*58 LD 25L/15 gab 9213,"968,000","0,0784","0,61"
019794,Maisi 50*68 cm HD 35L/20 gab 8927,"913,000","0,296","0,51"
019799,Maisi 52*68 LD melnpelēki 35l/10gab 9432,"569,000","0,3304","0,51"
019801,Maisi 54*75 cm HD melns 45L 7828,"602,000","0,4624","0,78"
019802,Maisi 570*860 LD 60L 7671,"1444,000","0,4273","1,01"
019803,Maisi 59*80 cm HD 55L 7830,"583,000","0,4084","0,64"
019805,Maisi 600*1100*0.125mm 125,"452,000","0,3349","0,60"
019806,Maisi 64*86CM HD melni 70L/15GB 9145,"638,000","0,4832","0,87"
019808,Maisi 67*105 LD melnpelēki 100L/10gab 9433,"548,000","1,033","1,65"
019810,Maisi 72*100 cm HD 100L  7832,"13,000","0,5162","0,77"
019811,Maisi 75*115 LD melnpelēkie 150 L 7884,"240,000","1,4526","2,31"
019812,Maisi 75*135 L 200L 7892,"166,000","1,7101","2,75"
019814,Maisi 800*1100*0.125mm 127,"860,000","0,4494","0,78"
019815,Maisi 95*130 LD 250L 7894,"161,000","0,986","1,58"
019816,Maisi 95*150 LD melnpelekie 300 L 7895,"114,000","1,1453","1,89"
0198409,Caurule gofrēta pelēka 20mm 50m FFKuL-EL-F,"247,000","0,1264","0,17"
0198430,Caurule gofrēta pelēka 40mm 25m FFKuL-EL-F,"19,000","0,3779","0,57"
019870,Maisītājs vannas F-P05B CR,"7,000","9,7186","14,33"
0198868,"Figūrzāģa asmeņu kompl. progr., 3gab., daž.mat.","3,000","6,26","9,85"
0199189,Auduma līmlente melna 150#C 3000h 25*19,"32,000","2,2019","3,40"
019950,Maliņa ar līmi 21 mm,"4285,000","0,0725","0,13"
01995179,Šķēres universālas,"7,000","6,7486","10,79"
0199691,Divpusēja līmlente caursp. 50*19,"5,000","2,162","3,66"
0199998,Divpusēja līmlente 25*12,"43,000","2,86","4,84"
0200001,Tosols A40-PI 1L PET pudelē,"87,000","1,081","1,94"
02000018,Izlietne Parva 50 cm,"2,000","19,00","30,15"
02000025,Antiledus 5 kg iepakojums,"95,000","1,7055","2,76"
02000032,Antiledus 25 kg iepakojums,"55,000","1,5538","12,19"
0200009,Krustiņi flīzēšanai 5 mm,"48,000","0,2713","0,46"
0200016,Krustiņi flīzēšanai 4 mm,"46,000","0,2754","0,43"
02000180,Plastmasas nazis +5 asmeņi,"9,000","1,5433","2,82"
0200023,Krustiņi flīzēšanai 2.5 mm,"81,000","0,2668","0,44"
0200024,Pievads 3/4 FF-50 m,"1,000","4,72","6,97"
0200035,Krustiņi flīzēšanai 3.5 mm,"41,000","0,279","0,43"
0200039,Gultu ritenītis D25 20003,"181,000","0,4255","0,67"
0200047,Skavas sienu apdares paneļiem C3,"42,000","1,2795","2,53"
0200048,Skavas sienu apdares paneļiem C3,"5,000","1,006","1,71"
0200058,Ķīļi flīzēšanai lielie,"5,000","0,268","0,40"
0200059,Ķīļi flīzēšanai mazie,"20,000","0,2665","0,38"
0200077,Mēbeļu ritenītis O50 ar ieskr. kronšteinu TWT50 20007,"27,000","0,2893","0,44"
0200084,Mēbeļu ritenītis O50 ar bremzi un ieskr. kronšteinu 20008,"14,000","0,3379","0,50"
0200115,Krustiņi flīzēm 1.5 mm,"2,000","0,265","0,46"
0200122,Krustiņi flīzēšanai 2 mm,"51,000","0,3435","0,64"
0200123,Ķīļi flīzēšanai mazie,"5,000","0,254","0,43"
0200139,Krustiņi flīzēšanai 4 mm,"45,000","0,2718","0,48"
0200165,Kopenhagen šokolādes cepumi 454 g,"16,000","2,7256","4,40"
0200183,Gultu ritenītis gumijots pelēks,"182,000","0,519","0,98"
0200183,Gultu ritenītis gumijots pelēks D30 m,"195,000","0,437","0,94"
0200245,Krustiņi flīzēšanai 3.5 mm,"27,000","0,2685","0,46"
0200435,Ritenītis  O50 melns 1-0484,"3,000","0,7833","1,24"
0200437,Sveču vainadziņš 200437,"3,000","0,9833","1,45"
0200480,Ritenīši O40mm,"33,000","0,2555","0,36"
0200503,Ritenīši ar bremzi O50 mm,"5,000","0,434","0,64"
0200510,Gultu ritenīši balti O25mm BC-01A 20051,"227,000","0,1979","0,31"
020052,Master 90 emaljas krāsa 1L,"4,000","3,97",
0200534,Ieskrūvējamais kronšteins ritenītim O50 mm,"45,000","0,1613","0,26"
0200558,Ieskrūvējamais kronšteins ritenītim O40 mm,"52,000","0,1227","0,20"
0200572,Ritenītis gunijots O50 hromēts,"94,000","0,7151","1,12"
0200589,Ritenītis gunijots O50 melns,"54,000","0,5341","0,81"
0200596,Kronšteins ofisa krēslu ritenīšiem O11 mm,"60,000","0,127","0,20"
0200604,Pievads 0.5 10 mm-1/2 F,"5,000","0,914","1,38"
0200639,Ēveles asmens HM,"48,000","9,6431","16,43"
0200727,"Pievads 0,90 10mm-1/2F 20072","24,000","2,2833","1,64"
0200772,"Pievads 0,90 L 10mm-1/2F 20077","18,000","2,4917","1,78"
0200781,Standartspuldze 200W E27 kl ACL200 015016,"53,000","1,3958","2,11"
0200783,Ēveles asmens HM PHO 16-82,"7,000","5,0014","9,01"
020103,PVC āra trejgabals DN110/110/45*,"13,000","1,8731","2,95"
020106,PVC āra trejgabalsDN 160/110 45*,"4,000","3,5725","5,62"
0201112,WB gaisa atsvaidzinātājs Vanilaroma,"39,000","0,5703","0,94"
0201136,WB gaisa atsvaidzinātājs eglīte Zitrone,"18,000","0,5444","0,80"
0201289,Figūrzāģis ar palielinātui loku 110 mm,"1,000","10,08","15,85"
0201332,DISTEIN marķēšanas krāsa oranža aeros. 500ml,"14,000","3,9414","6,39"
0201375,Ambi Pur gaisa atsv.Rose&Orchid 150 g,"42,000","1,4821","2,45"
0201382,Ambi Pur gaisa atsv.Eucalypt&Lime 150 g,"47,000","1,4768","2,45"
0201472,Serla 3*8 ruļļi,"19,000","3,2411","5,14"
0201518,Durvju stikla līste 027 12*20*15*2500,"153,000","1,0096","1,55"
020158,Titan Mattlateks 5 L 34305,"64,000","7,643","12,32"
0201588,Serla 5*4 virt.dvielis New,"149,000","1,5923","2,28"
0201602,Reģipsis Hartplatte 12.5mm 1200*2600 Knauf,"164,000","6,5112","9,87"
0201853,Sniega lāpsta 50 cm,"5,000","7,954","12,12"
0202022,Ārējais stūris 20,"177,000","1,2845","2,05"
020204,PVC āra līkums DN160/15*,"21,000","2,3795","3,74"
0202059,"Veļ.maš. pievads 500, 291cm 500","1,000","2,58","3,81"
020212,Mačete 2610/22,"16,000","2,7794","4,10"
020212,PVC āra līkums DN 110/30*,"16,000","0,8925","1,41"
020222,PVC āra līkums DN 110/45*,"34,000","0,8924","1,41"
020224,PVC āra līkums DN 160/45*,"25,000","2,1516","3,39"
020225,PVC āra līkumsDN 200/45*,"2,000","3,92","6,16"
0202312,Super-Moment līme 3 gr,"1212,000","0,5652","1,14"
020260,Medību nazis 2511/05,"4,000","3,1475","4,40"
020300,Maliņa ar līmi LF501,"2,800","0,3857","0,57"
0203109,Kabeļu kanāls 20*10,"42,000","0,8195","1,25"
0203131,Spuldze Economet 15W E27,"60,000","2,3157","3,86"
0203800,Celtniecības līmlente 93N/25mm 50*48,"1023,000","0,3399","4,74"
0204206,Vītnes pagar. 461 1/2,"25,000","1,2848","2,09"
0204233,Linolejs Terrana 4203-267 3.0 01/Eco,"49,800","3,3705","5,35"
0204282,"Vītnes pagar. 461 1"" G","7,000","3,8657","6,13"
0204748,"Glade-gaisa atsv""Air infusions"" (12x300ml)","18,000","1,8917","2,97"
020488,Metāla durvis,"1118,000","24,1278","294,82"
020502,PVC āra korķis DN110,"19,000","0,5779","0,91"
0205203,Vītnes pagar. 461 1/2 Nik.,"28,000","1,3164","2,13"
0205276,"Terrana 4211-262 3,0 22 linolejs","56,800","2,9586","4,70"
0205456,Nipelis 1/2 hrom.,"12,000","0,4667","0,73"
0205487,Spuldze TU Eko 15W E27 6h,"29,000","2,3476","3,56"
020585,Metāla špakteļlāpstu kompl. nerūs. 50/80/100/,"3,000","1,6933","2,50"
0206050,Fum lente 12mm*0.75m*10m,"106,000","0,1209","0,18"
0206080,Fum lente 12mm-10m,"9,000","0,1911","0,28"
0206095,Fum lenta 12,"25,000","0,1592","0,31"
0206100,Fum lente prof.,"115,000","0,6145","0,94"
0206101,Fum lente rpof. 20610,"62,000","0,6558","1,00"
020614,Mieta ganību 250126,"69,000","2,6484","4,58"
0206200,Gumijas gredzens 649 R7,"26,000","0,0258","0,04"
0206385,"Blīve 1""1/4 gum.","5,000","0,082","0,13"
0206392,"Blīve 1""1/2 gum.","8,000","0,0988","0,16"
0206415,Blīve 3/4 gum.,"90,000","0,0248","0,04"
0206439,"Blīve 1""1/4 gum.","0,000","0,00","0,06"
0206453,Blīve maisītājam 3/8,"62,000","0,0482","0,07"
0206513,Skrūve din 933 8.8 M16*45,"10,000","1,589","2,86"
020654,Mikseris 8*40cm hromēts RI-55008,"1,000","4,72","6,97"
0206608,Āķis ar aci un fiks. 1500 kg,"1014,000","0,0636","4,84"
0207179,Spuldze Basic 15W/640 D26mm,"8,000","1,9475","2,87"
0207214,Atzars 3/4 20721,"16,000","3,8625","5,96"
020724,PVC āra dubultuzmava DN160,"14,000","2,1171","3,33"
0207469,Spuldze Basic 30W/640 D26mm,"7,000","1,9486","2,87"
020781,Mira Flex saistv.flīžu šuvju pal. 0.5 L MR-04-430000,"1,000","5,18","7,84"
0208054,"Skrūve ģipškart. 25*3,5mm smalka v. 500 gb PA-214-076-5","387,000","1,4483","2,16"
0208078,Skrūve ģipškart.32*3.5mm smalka v. 100 gb PA-214-078-1,"1684,000","0,4932","0,74"
0208085,"Skrūve ģipškart. 32*3,5mm smalka v. 1000 gab PA-214-078-10","264,000","3,1783","4,74"
0208139,Skrūves ģipškart. 51*3.5mm smalka v. 100gb PA-214-081-1,"37,000","0,6359","0,97"
0208276,"Skrūve ģipškart. 25*3,5mm rupja v. 500 gb PA-214-187-5","61,000","1,4049","2,16"
0208283,"Skrūve ģipškart.32*3,5mm r.v. 100gb PA-214-188-1","1069,000","0,4964","0,74"
0208290,"Skrūve ģipškart. 32*3,5mm rupja v. 1000 gb  PA-214-188-10","87,000","3,0886","4,74"
0208313,"Skrūve ģipškart. 41*3,5mm rupja v.  100 g  PA-214-190-1","1757,000","0,5611","0,84"
0208337,"Skrūves ģipškart. 41*3,5mm r.v. 500 g  PA-214-190-5","182,000","1,846","2,73"
0208345,PAS 12-27 Putekļu sūcējs,"0,000","0,00","181,99"
0208382,Skrūves ģipškart. 51*3.5 rupja v. 500 gb  PA-214-191-5,"324,000","2,9187","4,38"
0208405,"Skrūves ģipšk.57*3,5mm r.v.100 g  PA-214-192-1","407,000","0,7355","1,10"
0208429,"Skrūves ģipšk. 64*3,8mm r.v. 100 g PA-214-193-1","704,000","0,8197","1,22"
0208437,Putekļusūcējs PAS 12-27 F,"0,000","0,00","258,96"
0208474,"Skrūves ģipšk. 76*4,1mm r.v. 100 g  PA-214-194-1","748,000","1,0529","1,55"
0208504,"Konstrukciju skrūves 11*3,5mm 100/kaste PA-214-235-1H","919,000","0,4838","0,71"
0208511,"Konstrukciju skrūves 11*3,5mm 500/kaste PA-214-235-5","91,000","2,1627","3,19"
0208528,"Konstrukciju skrūves 11*3,5mm 1000gb PA-214-235-M","960,000","0,1579","6,05"
0208771,Skrūve ģipškart. 90*4.8mm rupja v.  200 g PA-90X4.8-C2,"75,000","3,6995","5,46"
0208788,"Skrūve ģipškart. 90*4,8mm rupja v. 50 gb  PA-90X4,8-C5","351,000","1,2094","1,78"
0209263,Uzpildīšanas vārsts podam 1/2,"25,000","3,1836","4,70"
0209320,Sild.el. 1500W,"10,000","9,819","14,98"
0209409,Blīve sildelementam gum.,"129,000","0,1422","0,21"
0209864,Alumīnija līmlente -40 C +140 C 10*50,"10,000","2,592","4,21"
0209906,Spuldze Haloline 1000W 240V R,"2,000","6,66","9,83"
0210022,Piekarināmā atslēga 40*105 mm misiņa,"5,000","0,646","1,37"
0210039,Piekar. atslēgu komplekts 3 gab,"6,000","2,09","3,20"
0210107,Velosipēda atslēga 600 mm,"11,000","0,9673","1,47"
0210116,Maisītājs izl. Shert,"10,000","15,847","25,17"
0210454,Papīra filtri 5 gab,"27,000","6,817","15,28"
0210518,"Linolejs Chips Cosmos 4546-467-03-2 4,0","369,200","5,4068","8,74"
0210519,"Chips Cosmos 4546-468 4,0 linolejs","74,000","5,6988","8,74"
0210610,Adapters 1405 Euro 4 mm,"14,000","1,0486","2,36"
0210694,Klaviereņģes misiņotas 32mm 1m 21069,"292,710","0,8783","1,37"
0210706,Lotus Chef virtuves dvieļi 3 ruļļi,"2,000","1,435","2,19"
0210928,Silan Blue Dream 1 L,"19,000","1,60","2,29"
0211097,Eņģe pārfalces L misiņota 00875 2-9.5,"76,000","0,6313","0,97"
0211103,Eņģe pārfalces K misiņota 00874 2-9.5,"57,000","0,626","0,97"
0211370,Eņģe melna 551-90*1.5 06127,"65,000","0,3426","0,54"
0211387,Eņģe melna 551-120*1.5 06128 21138,"75,000","0,5683","0,87"
021150,Mākslīgā āda Polija 1.4m 1001105,"306,050","3,5129","6,52"
0211578,Linolejs trento Madeira 493D 2.5,"0,000","0,00","6,90"
021178,Mēb.kāja cilindriska hroms H100 mm D30 15161,"8,000","0,9163","1,35"
0211905,Līmes ieliktņi līmpistolei 8 mm,"4,000","2,6825","4,78"
0212071,Nazis 200  mm 21207,"58,000","1,6517","2,92"
0212236,Perwoll Balsam Magic šķ. mazg. 1.106,"67,000","2,306","3,53"
0212311,Perwoll Black 1 L,"23,000","2,2317","3,36"
0212397,Perwoll Color 1 L,"43,000","2,2947","3,94"
0212556,"Terrana 4203-262 3,0 22 linolejs","45,000","3,324","5,26"
0214194,Magnētu komplekts,"4,000","0,4025","0,60"
0214281,Emaljēta izlietne ar kronšt. 50*50,"15,000","10,484","20,26"
021442,Mēbeļu riteņi 25 mm 661.23.304,"216,000","0,1926","0,30"
021446,Mēbeļu riteņi 40 mm 621.661.23.400,"262,000","0,3586","0,54"
0214554,Virtuves švammes Scouring pads Bobbi 5 gb,"2,000","0,415","0,63"
0215028,Dg. lapma 2x36 W IP65 EVG,"4,000","9,585","15,08"
0215042,Lampa 2x36w V/A KVG EEI=B2,"0,000","0,00","22,38"
0215110,Prožektotrs Del 10W 4000K,"2,000","9,375","14,19"
0215119,Cimdi cūkādas ar reg.manžeti sark./balts 11 izm.,"82,000","1,8266","3,29"
